,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.05874430889986,0.22314,2.0461235284805297,0.2248
1,5,1.8226238708106839,0.31108,1.8259419441223144,0.3183
2,10,1.6851877095747967,0.36892,1.69069904088974,0.3698
3,15,1.4988583910221955,0.45902,1.5114298939704895,0.4566
4,20,1.3125614682022406,0.52316,1.3315342545509339,0.5174
5,25,1.1620511157172067,0.56578,1.1807963371276855,0.5585
6,30,1.1190678002882977,0.60216,1.1465964674949647,0.5861
7,35,0.8723871890379458,0.69212,0.8947115480899811,0.6835
8,40,0.8097661429521988,0.71508,0.8466003060340881,0.699
9,45,0.7540138947720431,0.7359,0.8038381159305572,0.72
10,50,0.6321251015273892,0.77844,0.6804861903190613,0.7608
11,55,0.5537742771664445,0.80782,0.6317617297172546,0.7784
12,60,0.5345608738003945,0.81402,0.6243241846561431,0.7839
13,65,0.46583660463897547,0.8374,0.5673767507076264,0.8055
14,70,0.42996523392443753,0.84788,0.5455276310443878,0.8163
15,75,0.37349650142144186,0.86722,0.5110525816679001,0.8281
16,80,0.361155377967017,0.87318,0.5157023012638092,0.825
17,85,0.28909472178439705,0.8992,0.46046340465545654,0.8433
18,90,0.26398493653657484,0.90786,0.4661898076534271,0.8436
19,95,0.2226778080268782,0.92092,0.4477027803659439,0.8526
20,100,0.18149397780700605,0.93788,0.428021302819252,0.8621
21,105,0.1681907262120928,0.94082,0.46156994104385374,0.8565
22,110,0.11372755057349497,0.96356,0.4181245595216751,0.87
23,115,0.09641041439406726,0.96926,0.4330596089363098,0.8655
24,120,0.08128496046577181,0.9734,0.463116329908371,0.8674
25,125,0.05572379015538157,0.98338,0.4465458393096924,0.874
26,130,0.0431615657040051,0.98738,0.4557394176721573,0.8772
27,135,0.031694733632766474,0.99222,0.46165442168712617,0.8783
28,140,0.024651496005909785,0.99442,0.4647853672504425,0.88
29,145,0.021064079841788933,0.9954,0.4723579227924347,0.8817
30,150,0.02061976228213432,0.99558,0.47092955410480497,0.8817
