,epoch,train_loss,train_acc,val_loss,val_acc
0,0,2.02734338760376,0.2343,2.0111153364181518,0.2395
1,5,1.7055790662765502,0.3745,1.7186134338378907,0.3688
2,10,1.3239623498916626,0.52,1.3494742155075072,0.5126
3,15,1.0886915111541748,0.60828,1.1226550817489624,0.5974
4,20,0.9351008749008178,0.66466,0.9864790320396424,0.6431
5,25,0.861987898349762,0.69202,0.9277201890945435,0.6713
6,30,0.7042113208770752,0.75066,0.7954840302467346,0.713
7,35,0.6036523985862732,0.7871,0.7056485056877136,0.7514
8,40,0.558502254486084,0.80468,0.6988891243934632,0.762
9,45,0.4781063652038574,0.83234,0.6405596017837525,0.7817
10,50,0.4306198000907898,0.84914,0.6195293545722962,0.7825
11,55,0.3679968726634979,0.87124,0.5994343161582947,0.7941
12,60,0.3079455280303955,0.89282,0.5606551766395569,0.81
13,65,0.25820975601673124,0.9103,0.5691606640815735,0.8102
14,70,0.23698362052440644,0.91572,0.5775309920310974,0.8137
15,75,0.19436291635036468,0.93178,0.5771702289581299,0.8144
16,80,0.16558532893657685,0.9435,0.5956275820732116,0.8118
17,85,0.12804528832435608,0.95548,0.6076997518539429,0.8203
18,90,0.0933284717798233,0.96958,0.5881687760353088,0.8286
19,95,0.07047771483659744,0.9773,0.6048978686332702,0.8339
20,100,0.05493092522025109,0.98234,0.6465519428253174,0.8323
21,105,0.03951405286788941,0.98748,0.6364184021949768,0.8337
22,110,0.02919909454882145,0.9914,0.6626004934310913,0.8344
23,115,0.019269539564847945,0.99498,0.666557502746582,0.8405
24,120,0.013773600980639457,0.99656,0.6667993426322937,0.8375
25,125,0.00952950669452548,0.99804,0.6695918083190918,0.8378
26,130,0.006953052338212728,0.99848,0.6784392714500427,0.8416
27,135,0.005114122526720166,0.99918,0.6746414780616761,0.8438
28,140,0.003977088602259755,0.99936,0.679998254776001,0.8462
29,145,0.0034377973340451715,0.99946,0.6802213072776795,0.8467
30,150,0.0033319419622421264,0.9994,0.6817883968353271,0.8478
